Story ID	Layer	Feature	User Story	Expected Behavior (code-based)	Primary Source	Existing Coverage	Feature Status	This-loop Test Status	Error Log	Fix Status	Retest Status	Next Verification
US-012	Checksum	Checksum metadata and refresh	Operator verifies a logical SQLite image checksum.	Committed writes mark checksum stale; db_checksum computes current value without clearing stale; refresh_checksum and refresh_checksum_chunk update stored metadata only on completion; zero chunk is rejected.	src/sqlite_vfs/stable_blob.rs; tests/checksum.rs	committed_update_marks_checksum_stale_until_refresh; chunked_checksum_refresh_*; checksum_refresh_rejects_empty_chunk_size	Host verified	Passed: cargo test (2026-06-22); 0 failures	No errors	No fix needed	Passed	cargo test --test checksum
US-013	Import/export	Not provided in current release	Operator wants migration or backup through logical image chunks.	Public import/export is intentionally removed; reintroduction requires bounded staging design.	docs/API_STABILITY.md; docs/OPERATIONS.md; src/db/mod.rs	No public API coverage; removed from facade	Deferred	Excluded from current release	No errors	No fix needed	Deferred	bounded staging design before reintroduction
US-014	Import/export	Import state machine safety	Operator aborts or fails imports without losing committed data.	Public import state machine is intentionally removed from facade and canister API; internal superblock fields remain for layout compatibility.	src/sqlite_vfs/stable_blob.rs; src/stable/meta.rs	Internal-only legacy coverage	Deferred	Excluded from current release	No errors	No fix needed	Deferred	bounded staging design before reintroduction
US-015	Storage layout	In-place v8 resource shape	Operator expects repeated page updates not to append-copy the whole DB.	Normal commits preserve db_base_offset and page_table_bytes == 0, do not grow allocated bytes when image fits capacity, and grow only to required stable-page-rounded end.	src/sqlite_vfs/stable_blob.rs; docs/API_STABILITY.md; tests/vfs_roundtrip.rs	repeated_existing_page_updates_do_not_grow_allocated_bytes; grow_truncate_reupdate_keeps_in_place_resource_shape	Host verified	Passed: cargo test (2026-06-22); 0 failures	No errors	No fix needed	Passed	cargo test --test vfs_roundtrip repeated_existing_page_updates grow_truncate
US-016	Storage layout	Sparse write and truncate masking	Application code truncates and re-extends without exposing stale bytes.	Sparse EOF gaps read as zero; truncated whole pages are hidden by zero extents until materialized; checksum preserves masked zeros.	src/sqlite_vfs/file.rs; src/sqlite_vfs/stable_blob.rs; tests/vfs_roundtrip.rs; src/sqlite_vfs/failpoint_tests.rs	vfs_sparse_write_zero_fills_*; vfs_truncate_reextend_keeps_stale_bytes_hidden_after_checksum	Host verified	Passed: cargo test (2026-06-23); 0 failures	No errors	No fix needed	Passed	cargo test sparse truncate
US-017	Storage layout	No public compact/reclaim	Operator observes high-water slack without expecting public reclaim.	No public compact API exists; orphan_bytes_estimate remains monitoring data.	docs/API_STABILITY.md; docs/OPERATIONS.md	repeated_existing_page_updates_do_not_grow_allocated_bytes	Host verified	Passed: cargo test (2026-06-23); 0 failures	No errors	No fix needed	Passed	cargo test --test vfs_roundtrip repeated_existing_page_updates
US-018	SQLite features	Enabled deterministic SQL feature families	Application code uses supported SQLite feature families.	UTC date/time, JSON/JSONB, table-valued JSON functions, and FTS5 MATCH queries are available; localtime and WAL are not part of the supported path.	tests/sqlite_features.rs; tests/fts5.rs; README.md	utc_date_time_functions_are_available; json_functions_and_table_valued_functions_are_available; fts5_virtual_table_supports_match_queries; wal_journal_mode_is_rejected_by_sqlite_path	Host verified	Passed: cargo test (2026-06-22); 0 failures	No errors	No fix needed	Passed	cargo test --test sqlite_features && cargo test --test fts5
US-019	VFS	VFS path and open mode behavior	SQLite opens only the intended main DB through icstable.	Main URI opens /main.db; read-only URI opens query path; attached paths containing the VFS name stay separate; WAL journal mode is rejected.	src/sqlite_vfs/vfs.rs; tests/vfs_roundtrip.rs	attached_path_containing_vfs_name_stays_separate; sqlite_uri_mode_ro_opens_main_db_read_only; wal_journal_mode_is_rejected_by_sqlite_path	Host verified	Passed: cargo test (2026-06-22); 0 failures	No errors	No fix needed	Passed	cargo test --test vfs_roundtrip attached_path sqlite_uri wal_journal
US-020	Reference canister	KV write/read APIs	Application user stores and reads key-value data.	Controller-only kv_put upserts key/value; public kv_get returns optional value; kv_get_many preserves input order and returns None for missing keys; kv_set_note/kv_get_note manage optional note.	src/api.rs; src/ic_sqlite_vfs.did; tests/pocketic/upgrade.test.mjs	stableImageSurvivesUpgrade; managementMethodsRequireController	PocketIC verified	Passed: npm run test:pocketic:regression (2026-06-22); 5 passed, 0 failed	No errors	No fix needed	Passed	npm run test:pocketic:regression
US-021	Reference canister	Input size guards	Application user gets bounded public endpoints.	key <= 256 bytes, value <= 64 KiB, note <= 4 KiB, kv_get_many <= 1000 keys, admin chunks <= documented limits; over-limit calls return Err text.	src/api.rs; tests/pocketic/upgrade.test.mjs; src/api.rs unit tests	kv_input_limits_accept_boundary_values; kv_input_limits_reject_one_byte_over_boundary; stableImageSurvivesUpgrade	PocketIC verified	Passed: cargo test --features canister-api kv_input_limits and npm run test:pocketic:regression (2026-06-22); 0 failures	No errors	No fix needed	Passed	cargo test --features canister-api kv_input_limits
US-022	Reference canister	Controller-only management	Application user without controller rights cannot mutate or inspect admin state.	kv_put, kv_set_note, kv_count, db_meta, integrity, and checksum refresh require controller; public reads remain available.	src/api.rs; tests/pocketic/upgrade.test.mjs	managementMethodsRequireController	PocketIC verified	Passed: npm run test:pocketic:regression (2026-06-23); 4 passed, 0 failed	No errors	No fix needed	Passed	npm run test:pocketic:regression
US-023	Reference canister	Admin metadata and integrity	Operator inspects DB health and resource state.	db_meta returns stable pages, schema version, tx id, checksum flags, layout version, page/zero/orphan stats; db_integrity_check returns SQLite integrity_check text.	src/api.rs; src/ic_sqlite_vfs.did; tests/pocketic/upgrade.test.mjs; docs/OPERATIONS.md	stableImageSurvivesUpgrade; managementMethodsRequireController	PocketIC verified	Passed: npm run test:pocketic:regression (2026-06-23); 4 passed, 0 failed	No errors	No fix needed	Passed	npm run test:pocketic:regression
US-024	Reference canister	Chunked admin checksum	Operator refreshes checksum without a single large update.	db_refresh_checksum returns Err directing use of chunk API; db_refresh_checksum_chunk enforces 1..4 MiB max and reports complete/checksum/scanned_bytes/db_size.	src/api.rs; tests/pocketic/upgrade.test.mjs; tests/checksum.rs	managementMethodsRequireController; chunked_checksum_refresh_updates_metadata_only_when_complete	PocketIC verified	Passed: cargo test, cargo test --features canister-api kv_input_limits, and npm run test:pocketic:regression (2026-06-22); 0 failures	No errors	No fix needed	Passed	npm run test:pocketic:regression && cargo test --test checksum
US-025	Upgrade	PocketIC upgrade persistence	Operator upgrades canister without losing stable SQLite image.	Rows, checksum metadata, integrity, and schema migration state survive canister upgrade.	tests/pocketic/upgrade.test.mjs; src/api.rs	stableImageSurvivesUpgrade	PocketIC verified	Passed: npm run test:pocketic:regression (2026-06-22); 5 passed, 0 failed	No errors	No fix needed	Passed	npm run test:pocketic:regression
US-026	Upgrade	Stable write trap rollback	Operator relies on IC rollback if trap occurs after stable write.	Failpoint canister trap after stable write leaves db_meta and logical KV value unchanged after failpoint cleanup.	tests/pocketic/upgrade.test.mjs; src/sqlite_vfs/failpoint_tests.rs	stableWriteTrapRollsBackFailedUpdate; stable_write_trap_ordinals_preserve_active_image_after_restart	PocketIC verified	Passed: cargo test host failpoints and npm run test:pocketic:regression (2026-06-23); 0 failures	No errors	No fix needed	Passed	npm run test:pocketic:regression
US-027	Compatibility	Cross-version logical import from 0.2.2	Operator migrates old 0.2.2 image by export/import, not direct upgrade.	Cross-version import is excluded from current release; direct old layout upgrade remains unsupported.	docs/API_STABILITY.md	No public API coverage; removed	Deferred	Excluded from current release	No errors	No fix needed	Deferred	bounded staging design before reintroduction
US-028	Compatibility	Cross-version logical import from 1.0.0	Operator migrates old 1.0.0 image by export/import, not direct upgrade.	Cross-version import is excluded from current release; direct old layout upgrade remains unsupported.	docs/API_STABILITY.md	No public API coverage; removed	Deferred	Excluded from current release	No errors	No fix needed	Deferred	bounded staging design before reintroduction
US-029	MemoryManager	Compatibility with upstream layout	Canister developer stores SQLite next to other MemoryManager virtual memories.	Bundled MemoryManager matches ic-stable-structures 0.7 layout, reloads interleaved buckets, rejects corrupt layouts, and uses MemoryId 0..=254.	src/stable/memory_manager.rs; tests/memory_manager_compat.rs; tests/memory_manager_corruption.rs	memory_manager_matches_upstream_layout_for_valid_operations; rejects_*corruption*	Host verified	Passed: cargo test (2026-06-22); 0 failures	No errors	No fix needed	Passed	cargo test --test memory_manager_compat --test memory_manager_corruption
US-030	Public API	2.x public surface stability	Maintainer changes public APIs intentionally.	docs/PUBLIC_API_2_0.snapshot is the frozen rustdoc-visible public surface; release gate fails on removal/signature drift.	docs/API_STABILITY.md; docs/PUBLIC_API_2_0.snapshot; tests/public_api.rs; scripts/check-public-api-snapshot.sh	documented_public_api_surface_compiles; check-public-api-snapshot	Host verified	Passed: cargo test public_api and check-public-api-snapshot.sh (2026-06-22); 0 failures	No errors	No fix needed	Passed	scripts/check-public-api-snapshot.sh && cargo test --test public_api
US-031	Build	SQLite build feature selection	Consumer builds with exactly one SQLite source feature.	sqlite-bundled and sqlite-precompiled cannot both be enabled; precompiled wasm32 archive exposes expected SQLite features.	src/lib.rs; Cargo.toml; tests/pocketic/upgrade.test.mjs	compile_error feature guard; precompiledSqliteArchiveHasExpectedFeatures	Wasm verified	Passed: cargo check --release --target wasm32-unknown-unknown --no-default-features --features sqlite-precompiled and PocketIC precompiled feature probe (2026-06-22); 0 failures; warnings resolved	Initial release/wasm checks emitted dead_code warnings from generated SQLite bindings and test/feature helper APIs	Fixed with scoped dead_code suppressions on generated FFI/test-helper boundaries	Passed warning-free	cargo check --target wasm32-unknown-unknown --no-default-features --features sqlite-precompiled
US-032	Runtime guard	No async or inter-canister calls inside transactions	Maintainer avoids commit split across message executions.	CI script rejects .await, async fn, call_perform, ic_cdk::call, and call_raw under src.	scripts/check-no-await.sh; docs/OPERATIONS.md	check-no-await script	Static verified	Passed: bash scripts/check-no-await.sh (2026-06-22); 0 failures	No errors	No fix needed	Passed	bash scripts/check-no-await.sh
US-033	Example	Minimal KV canister	Consumer copies a minimal canister pattern.	Example initializes MemoryManager, calls Db::init and Db::migrate in init/post_upgrade, exposes kv_put and kv_get with params.	examples/minimal-kv/src/lib.rs; examples/minimal-kv/README.md; examples/minimal-kv/Cargo.lock	Build coverage indirect only	Wasm verified	Passed: cargo build --manifest-path examples/minimal-kv/Cargo.toml --target wasm32-unknown-unknown --release (2026-06-22); 0 failures	No errors after wasm release build	No fix needed	Passed	cargo build --manifest-path examples/minimal-kv/Cargo.toml --target wasm32-unknown-unknown --release
US-034	Performance	Instruction regression harness	Maintainer checks instruction and limit-case regressions.	PocketIC perf test builds benchmark canisters and verifies workload metrics/limits against expected behavior.	tests/pocketic/perf_regression.test.mjs; README.md	PocketIC instruction and limit-case regression checks	PocketIC verified	Passed: npm run test:pocketic:perf (2026-06-22); 1 passed, 0 failed	No errors	No fix needed	Passed	npm run test:pocketic:perf
